Dénomination,Raison Sociale,Responsable,Secteur,Activités,Produits,Adresse usine,District,Gouvernorat,Délégation,Téléphone siège/usine,Fax siège/usine,E-mail,URL,Régime,"Pays du Participant 
    Etranger",Entrée en production,Capital en DT,Emploi,Banque_Tunisienne_Associée
SOVEP,STE DU VERRE PLAT,Slim Channoufi,Industries des matériaux de construction céramique et verre,Façonnage et transformation du verre plat.,"Vitrage isolant - Verres de sécurité, trempés ou contrecollés - Verres plast, étirés, coulés ou flottés - Autres verres plats façonnés.","RUE KASSERINE, LOTS N° 76/77/97, Z.I. M'GHIRA III - 2082 - FOUCHANA","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Fouchana,(216) - 29 352 000 / 71 409 374,(216) - 71 409 384,slim.chennoufi@sovep-glass.com,http://www.sovep-glass.com,Non totalement exportatrice,,30/06/2011,7 380 100,192.0,Attijari Bank
SPCF,STE DES PRODUITS DE CARRIERE FAIEDH,Mohamed Guidara,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Pierres de construction - Graviers - Sables de carrière.,FAIEDH - 9100 - SIDI BOUZID,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sidi Bouzid,Sidi bouzid est,(216) - 74 401 020 / 74 210 600,(216) - 74 405 182 / 74 210 604,guidra_med@yahoo.fr,,Non totalement exportatrice,,05/01/2017,1 410 000,24.0,Banque internationale arabe de Tunisie
SPS (KETTANA),STE PAVES DU SUD,Khelifa Nouasria,Industries des matériaux de construction céramique et verre,Articles en ciment ou en béton (tuyaux et conduits).,"Bordures de trottoir - Produits divers en béton pour la clôture, le funéraire.",RTE DE MEDENINE KM 14 - 6036 - KETTANA,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Gabes,Mareth,(216) - 75 237 382 / 75 237 166,(216) - 75 237 383,sps@planet.tn,,Non totalement exportatrice,,01/06/2001,2 600 000,70.0,Arab Tunisian Bank
SSBS,SUPER BETON SLAMA,Ali Ben Slama Cherif,Industries des matériaux de construction céramique et verre,Béton prêt à l'emploi.,Béton prêt à l'emploi.,GP1 KM 5 - 9040 - TEBOURSOUK,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Beja,Teboursouk,(216) - 98 292 610,,,,Non totalement exportatrice,,04/07/2015,1 010 000,18.0,Union internationale de banques
STE DE TRANSFORMATION DE MARBRE THALA,STE DE TRANSFORMATION DE MARBRE THALA,Tarek Rahmouni,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,"KM 71, RTE DU KEF - 1210 - THALA","Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Kasserine,Thala,(216) - 98 721 369 / 58 921 369,,sotmat.marbre@gmail.com,,Non totalement exportatrice,,01/02/2014,895 000,35.0,Banque nationale agricole
STE PREFAB INDUSTRIES (EX: SICEP TUNISIE),STE PREFAB INDUSTRIES (EX: SICEP TUNISIE),Rosario Blanca,Industries des matériaux de construction céramique et verre,Articles en ciment ou en béton (tuyaux et conduits).,"Plaques, panneaux en béton - Eléments de structure en béton pour le bâtiment et le génie civil.",Z.I. EL ALAM - 3125 - ALEM,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Kairouan,Sbikha,(216) - 71 941 665 / 77 328 514,(216) - 71 942 466,info@siceptunisie.com.tn,http://www.siceptunisie.com.tn,Non totalement exportatrice,Italie,08/02/2011,9 000 000,80.0,Amen Bank
STFDM,STE TNNE DE FABRICATION DE DALLAGE EN MARBRE,Mohamed El Euch,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,RUE DE LA GARE - 7113 - KALAA EL KHASBA,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Le kef,Kalaa khasba,(216) - 71 590 550,(216) - 71 792 587,,,Non totalement exportatrice,,16/01/2012,1 350 000,10.0,Banque Zitouna
STHL,STE TNNE DES HYDROLIANTS,Hafedh Hammami,Industries des matériaux de construction céramique et verre,"Extraction et transformation de calcaire industriel, gypse et craie.",Gypse.,RTE DE SMAR KM 16 - 3243 - OUED EL GHAR,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Tataouine,Tataouine nord,(216) - 74 289 636 / 75 882 100,(216) - 75 882 137,,,Non totalement exportatrice,Monaco,26/04/2010,7 100 000,117.0,Société tunisienne de banque
STIB (KAIROUAN),STE TNNE DES INDUSTRIES DU BETON,Faouzi Magouri,Industries des matériaux de construction céramique et verre,Articles en ciment ou en béton (tuyaux et conduits) - Béton prêt à l'emploi.,"Tuiles, dalles et blocs en béton - Eléments de voirie ou d'assainissement en béton - Béton prêt à l'emploi.",Z.I EL BATEN - 3140 - KAIROUAN OKBA,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Kairouan,Kairouan nord,(216) - 77 305 500,(216) - 77 305 525,mohamedfaouzi@yahoo.com,,Non totalement exportatrice,,05/10/2003,900 000,50.0,Banque nationale agricole
STICC,STE TNNE IND DE CARBONATE DE CALCIUM,Ali Hermassi,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Carbonate de calcium.,RTE DE KASSERINE KM2 BP22 - 1240 - FERIANA,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Kasserine,Feriana,(216) - 36 404 520 / 58 091 724,(216) - 76 404 523,sticc-hermess@hotmail.fr,,Non totalement exportatrice,,01/01/1996,3 200 000,33.0,Banque Zitouna
STM (MEJAZ ZL BAB),STE TUILES DE MEDJEZ EL BEB,Rtidha Hamza,Industries des matériaux de construction céramique et verre,Articles en ciment ou en béton (tuyaux et conduits).,"Tuiles, dalles et blocs en béton.",Z.I. - 9070 - MEDJEZ EL BAB,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Beja,Mjaz el bab,(216) - 98 459 013 / 78 560 289,(216) - 78 563 300,,,Non totalement exportatrice,,01/04/2013,100 000,16.0,Attijari Bank
STTS (BOUARGOUB),STE TNNE DE TRAITEMENT DE SABLE,Abdessalem M'rad,Industries des matériaux de construction céramique et verre,Extraction et transformation de sable et granulat.,Sables industriels.,BORJ HFAIEDH - 8040 - BOUARGOUB,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Bou argoub,(216) - 72 266 699,(216) - 72 283 142,stts@gnet.tn,,Totalement exportatrice,,05/02/2008,400 000,15.0,Union internationale de banques
STV,STE TECHNOLOGIQUE DE VERRES,Amine Moalla,Industries des matériaux de construction céramique et verre,Façonnage et transformation du verre plat.,Miroirs en verre.,RTE DE TENIOUR KM 35 - 3022 - MARKEZ KAMOUN,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Menzel chaker,(216) - 29 733 708 / 29 733 703,,contact@stv.tn,,Non totalement exportatrice,,02/03/2016,1 450 000,23.0,Union internationale de banques
SUD BETON (BOUCHEMMA),STE DE FABRICATION DE BETON DU SUD (BOUCHEMMA),Majed Athimen,Industries des matériaux de construction céramique et verre,Béton prêt à l'emploi.,Béton prêt à l'emploi.,Z.I. - 6000 - GABES,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Gabes,Gabes ville,(216) - 71 842 433 / 75 279 222,(216) - 74 289 881 / 75 279 222,sudbeton.sfax@gnet.tn,,Non totalement exportatrice,Portugal,02/01/2002,1 150 000,12.0,Union internationale de banques
SUD BETON (THYNA),STE DE FABRICATION DE BETON DU SUD (THYNA),Sebastiao Santos,Industries des matériaux de construction céramique et verre,Articles en ciment ou en béton (tuyaux et conduits) - Béton prêt à l'emploi.,Béton prêt à l'emploi - Bordures de trottoir - Autres bétons.,RTE DE GABES KM 9 - 3083 - THYNA,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Thyna,(216) - 71 842 433 / 74 289 881,(216) - 71 787 170 / 74 289 815,mohamed.jemal@sud.com.tn,,Non totalement exportatrice,Portugal,01/01/1983,6 000 000,49.0,Banque de Tunisie
SUD BITUME,STE DES BITUMES DU SUD,Mohamed Ali Bessais,Industries des matériaux de construction céramique et verre,Produits minéraux non métalliques N.C.A..,Produits asphaltés et bitumineux.,Z.I. - 6071 - GABES PORT,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Gabes,Gabes ville,(216) - 71 454 537 / 75 278 841,(216) - 71 453 800 / 75 220 919,depot@sud-bitume.com.tn,,Totalement exportatrice,,20/11/1998,330 000,10.0,Banque de l'habitat
SUD DES DALLES PREFABRIQUEES,STE SUD DES DALLES PREFABRIQUEES,Abdallah Belmabrouk,Industries des matériaux de construction céramique et verre,Tuyaux et plaques en amiante-ciment.,Matériaux isolants en fibres végétales agglomérées.,JBEL ERSSIFA - 4200 - KEBILI,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Kebili,Kebili nord,(216) - 75 490 206,,,,Non totalement exportatrice,,09/07/2014,2 000 000,22.0,Banque de Tunisie
SUD VERRE,STE SUD VERRE,Mourad Ajili,Industries des matériaux de construction céramique et verre,Façonnage et transformation du verre plat.,"Verres de sécurité, trempés ou contrecollés.",RTE DE L'AIN KM 3 CEINTURE BOURGUIBA - 3051 - MARKEZ EL ALIA,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Sfax ouest,(216) - 99 660 612 / 74 660 613,(216) - 74 660 612,sud.verre@planet.tn,http://www.sudverre.com.tn,Non totalement exportatrice,,26/05/1989,765 000,11.0,Banque Zitouna
SUPER BETON,SUPER BETON,Anis Boudokhane,Industries des matériaux de construction céramique et verre,Béton prêt à l'emploi.,Béton prêt à l'emploi.,AVE JAAFAR-SIDI AMOR - 2056 - RAOUED,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ariana,Raoued,(216) - 71 772 636 / 98 776 541,(216) - 71 772 621,superbeton2000@gmail.com,,Non totalement exportatrice,,31/03/2003,1 020 000,55.0,Arab Tunisian Bank
SUPER FABRIQUANT SLAMA,STE SUPER FABRIQUANT SLAMA,Ali Ben Slama Cherif,Industries des matériaux de construction céramique et verre,Articles en ciment ou en béton (tuyaux et conduits).,Autres articles en béton.,GP 5 - 9040 - TEBOURSOUK,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Beja,Teboursouk,(216) - 98 292 610 / 23 292 610,,ssbs_tbk@hotmail.com,,Non totalement exportatrice,,01/10/2015,1 700 000,18.0,Banque Zitouna
SUPER MARBRE DU CAP BON,STE SUPER MARBRE DU CAP BON,Olfa Boutiti,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,Z.I. RTE DE TUNIS - 8000 - NABEUL,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Nabeul,(216) - 22 066 020,,supermarbrecb@gmail.com,,Non totalement exportatrice,,04/05/2011,80 000,24.0,Banque nationale agricole
SYPHAX BETON,STE SYPHAX BETON,Abdellatif Ben Ayed,Industries des matériaux de construction céramique et verre,Articles en ciment ou en béton (tuyaux et conduits).,Bordures de trottoir.,Z.I. - 3030 - AGAREB,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Agareb,(216) - 98 410 462 / 74 270 970,(216) - 74 270 966,contact@syphaxbeton.tn,,Non totalement exportatrice,,15/07/2020,8 650 000,25.0,Union internationale de banques
TAP ABRASIVES,TECHNICAL ABRASIVES PRODUCT,Adel Ghaddab,Industries des matériaux de construction céramique et verre,Produits abrasifs.,Disques abrasifs de découpage - Autres produits abrasifs.,RTE DE JAMMEL - 5050 - MOKNINE,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Monastir,Moknine,(216) - 73 439 044 / 73 474 315,(216) - 73 439 019 / 73 474 296,commercial.tap@gnet.tn,,Non totalement exportatrice,,30/11/2015,240 000,20.0,Attijari Bank
TECHNO GLASS,TECHNO GLASS,Marco Sacchi,Industries des matériaux de construction céramique et verre,Façonnage et transformation du verre plat.,Autres verres plats façonnés.,Z.I. - 7030 - MATEUR,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Bizerte,Mateur,(216) - 72 466 799,(216) - 72 467 588,technoglass@hotmail.fr,,Totalement exportatrice,Italie - Suisse,08/06/2007,19 000,53.0,Banque Zitouna
TECHNO-BETON,TECHNO-BETON,Piero Caruso,Industries des matériaux de construction céramique et verre,Béton prêt à l'emploi.,Béton prêt à l'emploi.,stechnobeton@gmail.com - 5180 - KSOUR ESSEF,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Mahdia,Ksour essaf,(216) - 73 621 260,(216) - 73 621 261,stechnobeton@gmail.com,,Non totalement exportatrice,,29/06/2007,100 000,45.0,Banque Zitouna
TECHNOMARBRE,TECHNOMARBRE,Sami Ellouze,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,LOT N°54 Z.I. - 2042 - CITE ETTAHRIR,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Tunis,El omrane superieur,(216) - 71 922 209,(216) - 71 922 200,technomarbre@yahoo.fr,,Non totalement exportatrice,,01/06/1995,300 000,11.0,Union internationale de banques
TECNOMARBRE,STE LES TECHNIQUES DU MARBRE (FOUCHANA),Taher Denguir,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre - Autres articles en verre.,Articles en quartz.,"RUE MEGRINE, LOT N° 92, Z.I. M'GHIRA I - 2082 - FOUCHANA","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Fouchana,(216) - 71 409 540,(216) - 79 409 511 / 71 409 511,contact@tecnomarbre.com,http://www.tecnomarbre.com,Non totalement exportatrice,,10/06/2011,620 000,33.0,Société tunisienne de banque
TGV,TRANSFORMATION GENERALE DE VERRE,Wassim Abbes,Industries des matériaux de construction céramique et verre,Verre creux (verre de table et bouteillerie).,Articles décoratifs en verre ordinaire ou soufflé - Décoration du verre creux.,RTE DE TUNIS KM 10 - 3021 - SAKIET EZZIT,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Sakiet ezzit,(216) - 74 235 570 / 29 951 073,(216) - 74 862 962,wafa.dj@ceg.tn,,Non totalement exportatrice,,30/04/2005,27 000 000,42.0,Société tunisienne de banque
THYSDRAUS INTERNATIONALE DE MARBRE,STE THYSDRAUS INTERNATIONALE DE MARBRE,Atef Bellil,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,RTE DU KEF KM 5 - 1210 - THALA,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Kasserine,Thala,(216) - 98 277 887,(216) - 76 519 000,bellilatefatef@gmail.com,,Non totalement exportatrice,,12/01/2010,300 000,10.0,Société tunisienne de banque
TOP BETON,TOP BETON,Ahmed Ben Mabrouk,Industries des matériaux de construction céramique et verre,Articles en ciment ou en béton (tuyaux et conduits).,"Tuiles, dalles et blocs en béton - Tuyaux et conduits en béton.",OUM ETTAMAR EST - 4100 - MEDENINE,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Medenine,Medenine nord,(216) - 75 490 677,(216) - 75 490 679,,,Non totalement exportatrice,,22/01/2019,1 800 000,20.0,Banque Zitouna
TORKIA MARBRERIE,STE TORKIA MARBRERIE,Ezzeddine Sassi,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre - Carreaux en ciment.,Marbre - Carreaux marbrés.,"RUE DE BEJA, LOT N°133, Z.I. M'GHIRA II - 2082 - FOUCHANA","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Fouchana,(216) - 71 409 772 / 98 216 142,(216) - 71 409 774,torkiamarbrerie@gmail.com,,Non totalement exportatrice,,29/08/2011,500 000,20.0,Banque nationale agricole
TOUMI CIMENT INDUSTRIALISE,TOUMI CIMENT INDUSTRIALISE,Mohamed Ben Ettoumi,Industries des matériaux de construction céramique et verre,Articles en ciment ou en béton (tuyaux et conduits).,Bordures de trottoir - Eléments de voirie ou d'assainissement en béton - Autres articles en béton.,RUE DE L'ENVIRONNEMENT - 4013 - MESSADINE,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Msaken,(216) - 73 285 290,(216) - 73 285 290,mbtm.tn@gmail.com,http://www.toumi-beton.com,Non totalement exportatrice,,30/08/2010,615 000,30.0,Amen Bank
TPR GLASS,STE TPR GLASS,Yahia Bayahi,Industries des matériaux de construction céramique et verre,Façonnage et transformation du verre plat.,Autres verres plats façonnés.,Z.I. BOUTEFFEHA 2 - 9000 - BEJA,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Beja,Beja nord,(216) - 29 302 344,,,,Non totalement exportatrice,,30/11/2022,13 000 000,45.0,Union internationale de banques
TUNIS ENSEIGNES,TUNIS ENSEIGNES,Skander Hochlaf,Industries des matériaux de construction céramique et verre,Autres articles en verre.,Articles en verre à usages techniques - Enseignes lumineuses.,"1, RUE DES FONDERIES, Z.I. - 2013 - BEN AROUS","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Nouvelle medina,(216) - 58 419 012,,tunis.enseignes@planet.tn,,Non totalement exportatrice,,01/04/1976,693 000,50.0,Union internationale de banques
TUNISIA MOSAICO,STE TUNISIA MOSAICO,Rivi Stefano,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,Z.I. - 5140 - SOUASSI,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Mahdia,Essouassi,(216) - 25 777 165 / 22 984 734,,kamel_rekik@yahoo.fr,,Totalement exportatrice,Italie,23/07/2018,15 000,20.0,Union internationale de banques
TUNISIE PORCELAINE,STE TUNISIE PORCELAINE,Sarra Khechine Zouari,Industries des matériaux de construction céramique et verre,"Articles ménagers en porcelaine, faïence et grès.",Vaisselle de ménage en porcelaine - Cartons ondulés - Emballages en cartons - Boites d'emballage.,CHEBEDDA  BP 17 - 1135 - NAASSEN,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Fouchana,(216) - 70 147 500 / 70 145 500,(216) - 71 398 354,tunisie.porcelaine@tunisie.porcelaine.com,http://www.tunisie-porcelaine.com,Non totalement exportatrice,,07/03/1985,18 360 000,800.0,Banque Zitouna
UBS,STE UNION DE BRIQUETERIES DE SUD,Anis Karoui,Industries des matériaux de construction céramique et verre,Briques et hourdis.,Briques creuses ou perforées.,RTE DE BEN GUERDANE KM 2 - 4100 - MEDENINE,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Medenine,Medenine sud,(216) - 29 101 108 / 75 624 780,(216) - 75 624 655,ubs@gnet.tn,,Non totalement exportatrice,,03/03/2014,10 000 000,197.0,Amen Bank
UNI BETON,USINE NORD D'INDUSTRIE DE BETON,Khaled Mawasria,Industries des matériaux de construction céramique et verre,Articles en ciment ou en béton (tuyaux et conduits).,Bordures de trottoir - Entrevous en béton.,1193 - BIR M'CHERGA GARE,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Zaghouan,Bir Mcherga,(216) - 31 400 890 / 72 680 672,(216) - 72 400 890 / 72 680 673,unibeton.tunis@gmail.com,,Non totalement exportatrice,,16/05/2011,860 000,10.0,Banque de Tunisie
UNIPLATRE,STE UNIPLATRE,Mohamed Brahim M'zabi,Industries des matériaux de construction céramique et verre,"Extraction et transformation de calcaire industriel, gypse et craie.",Plâtre.,EZZAHRA - 3200 - TATAOUINE,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Tataouine,Tataouine nord,(216) - 71 381 450 / 99 553 322,,,,Non totalement exportatrice,,12/01/2022,8 466 437,62.0,Arab Tunisian Bank
USINE DE MICROBILLES DE VERRE,USINE DE MICROBILLES DE VERRE,Riadh Ahmed,Industries des matériaux de construction céramique et verre,Autres articles en verre.,Autres produits en verre.,Z.I. - 6071 - GABES PORT,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Gabes,Gabes ville,(216) - 36 080 200 / 36 080 300,(216) - 75 273 900,regional.office@alkimia.tn,,Totalement exportatrice,,01/01/2021,18 500 000,18.0,Banque internationale arabe de Tunisie
VERRERIE AGILI,STE VERRERIE AGILI,M'hamed Agili,Industries des matériaux de construction céramique et verre,Façonnage et transformation du verre plat.,Vitrage isolant - Autres verres plats façonnés.,RTE DE GABES KM 6 Z.I ENNASR - 3083 - THYNA,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Thyna,(216) - 74 218 301 / 74 275 985,(216) - 74 218 301 / 74 276 163,verrerie.agili@tunet.tn,,Non totalement exportatrice,,01/04/1993,757 000,16.0,Union internationale de banques
VN,VERRERIE DE NAASSEN,Besma Arfaoui,Industries des matériaux de construction céramique et verre,Verre creux (verre de table et bouteillerie).,"Verrerie de table - Flacons,  pots, bocaux en verre - Autres produits en verre creux.",Z.I. DE CHEBEDDA BP 11 - 1135 - NAASSEN,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Fouchana,(216) - 71 398 218,(216) - 71 398 072,sover.ceramique@hotmail.com,http://www.verrerie-naassen.com,Non totalement exportatrice,,01/01/1980,3 300 000,127.0,Banque internationale arabe de Tunisie
ZARIAT ET FILS,STE ZARIAT ET FILS,Mourad Zariat,Industries des matériaux de construction céramique et verre,Briques et hourdis.,Briques creuses ou perforées.,Z.I. - 8060 - BENI KHIAR,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Beni khiar,(216) - 96 049 094 / 72 229 049,(216) - 72 229 049,stzariatetfils@gmail.com,,Non totalement exportatrice,,11/05/1983,90 000,17.0,Union internationale de banques
ZARZIS BETON,STE ZARZIS BETON,Majed Athimi,Industries des matériaux de construction céramique et verre,Béton prêt à l'emploi.,Béton prêt à l'emploi.,RTE DE BEN GUERDANE Z.I. - 4170 - ZARZIS,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Medenine,Zarzis,(216) - 98 403 616 / 75 748 900,(216) - 74 289 815 / 75 748 901,sudbeton.sfax@sudbeton.com.tn,,Non totalement exportatrice,Portugal,05/06/2004,500 000,11.0,Banque de Tunisie
ZEMAR,STE ZEMAR,Mohamed Tahar Ouertatani,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,Z.I. - 7160 - LE KSOUR,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Le kef,El ksour,(216) - 98 909 195,,zemar.marbre@gmail.com,,Non totalement exportatrice,,10/05/2021,800 000,31.0,Société tunisienne de banque
2A2M,ABDEDAIEM ART METALLIQUE MODERNE,Nabil Abdedaiem,Industries mécaniques et métallurgiques,Constructions métalliques - Ouvrages mécano soudé.,Travaux de chaudronnerie - tuyauterie sur site industriel - Autres constructions métalliques.,Z.I. - 6071 - GABES PORT,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Gabes,Gabes ville,(216) - 21 453 246 / 98 987 797,(216) - 73 352 463,2a2m.gabes@gmail.com,http://www.2a2m.tn,Non totalement exportatrice,,04/12/2013,78 000,10.0,Banque nationale agricole
2AS,ATELIERS AERONAUTIQUES DU SAHEL,Jean Claude Chatal,Industries mécaniques et métallurgiques,Constructions métalliques - Mécanique générale.,"Pièces mécaniques usinées (alésage, fraisage, tournage...) - Autres constructions métalliques.",RTE DE MOKNINE - 5020 - JEMMEL,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Monastir,Jammel,(216) - 73 580 070 / 73 580 071,,contact@2as.tn,,Totalement exportatrice,France,01/10/2011,40 000,90.0,Banque Zitouna
A2FO,ABDELWAHAB FRIKHA FORMES ET OUTILS,Abdelwahab Frikha,Industries mécaniques et métallurgiques,Outillage mécanique - Machines diverses d'usage spécifique.,Moules et modèles - Pièces techniques en matières plastiques - Poinçons et matrices pour estampage.,RTE DE TUNIS KM 10 - 3021 - SAKIET EZZIT,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Sakiet ezzit,(216) - 74 861 133,(216) - 74 860 633,a2fo@a2fo.com,http://www.a2fo.com,Non totalement exportatrice,,02/01/1985,-,20.0,Banque de Tunisie
ABBES DE MENUISERIE D'ALUMINIUM,STE ABBES DE MENUISERIE D'ALUMINIUM,Mohamed Abbes,Industries mécaniques et métallurgiques,Menuiseries et fermetures métalliques.,Portes métalliques - Fenêtres métalliques.,"RTE DE L'AIN KM 6,5 - 3000 - SFAX","Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Sfax sud,(216) - 74 631 561,(216) - 74 653 022,abbesalu@yahoo.fr,,Non totalement exportatrice,,02/07/2002,220 000,18.0,Banque de Tunisie
ABDELHEDI BEN HENIA,ABDELHEDI BEN HENIA,Abdelhedi Ben Henia,Industries mécaniques et métallurgiques,Constructions métalliques - Menuiseries et fermetures métalliques.,Autres constructions métalliques - Portes métalliques - Fenêtres métalliques - Autres menuiseries et fermetures métalliques.,Z.I. - 1100 - ZAGHOUAN,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Zaghouan,Zaghouan,(216) - 72 682 365,(216) - 72 682 367,,,Non totalement exportatrice,,12/02/2008,-,40.0,Banque Zitouna
ABDELJELIL ALUMINIUM,ABDELJELIL ALUMINIUM,Ahmed Nejmeddine Ben Abdeljelil,Industries mécaniques et métallurgiques,Métallurgie de l'aluminium.,Feuilles minces en aluminium - Autres métallurgies de l'aluminium.,RTE DE SFAX - 4015 - BORJINE,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Msaken,(216) - 25 100 785 / 73 288 100,(216) - 73 289 748,ahmed@abdeljelil-group.com,http://www.abdeljelil.group.com,Non totalement exportatrice,,01/04/2014,270 000,32.0,Union internationale de banques
ABDELMAJID REZGUI,ABDELMAJID REZGUI,Abdelmajid Rezgui,Industries mécaniques et métallurgiques,Constructions métalliques.,Ossatures métalliques pour la construction - Autres constructions métalliques.,CITE EL GANTRA - 7180 - SERS,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Le kef,Le sers,(216) - 22 715 278 / 51 995 278,,,,Non totalement exportatrice,,15/01/2019,-,11.0,Amen Bank
AC2M,STE AC2M,Karim Boujneh,Industries mécaniques et métallurgiques,Ouvrages divers en métaux.,Echelles et escabeaux - Autres ouvrages divers en métaux.,RTE DE KAIROUAN - 4070 - M'SAKEN,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Msaken,(216) - 73 268 868,(216) - 73 258 063,ac2m_chaudronnerie@yahoo.fr,,Totalement exportatrice,,26/12/2011,100 000,18.0,Société tunisienne de banque
ACEM (SIDI ALOUANE),ATELIER DE CONSTRUCTION ET D'EMBOUTISSAGE METALLIQUE,Chedly Ben Salem,Industries mécaniques et métallurgiques,Constructions métalliques.,Autres constructions métalliques.,Z.I - 5180 - KSOUR ESSEF,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Mahdia,Ksour essaf,(216) - 73 662 028 / 73 621 063,(216) - 73 621 063,dir.acem@gmail.com,,Non totalement exportatrice,,02/07/2002,16 000,14.0,Banque Zitouna
